run_accession	sample_alias	sample_accession	sample_title	experiment_accession	fastq_ftp	submitted_ftp	submitted_md5	submitted_bytes	library_strategy	library_source	library_selection	instrument_platform	read_count	base_count
ERR4059478	VK6	SAMEA6799839	Viking Age human sample	ERX4058263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059478/ERR4059478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059478/VK6.final.bam	ee4964890d2ead3573d829b3db8d055f	10057702382	WGS	GENOMIC	RANDOM PCR	ILLUMINA	159793762	9206083682
ERR4059479	VK9	SAMEA6799840	Viking Age human sample	ERX4058264	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059479/ERR4059479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059479/VK9.final.bam	18098f10fb46d2170248d6f549fa1133	305420937	WGS	GENOMIC	RANDOM PCR	ILLUMINA	4041281	294219156
ERR4059481	VK14	SAMEA6799842	Viking Age human sample	ERX4058266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059481/ERR4059481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059481/VK14.final.bam	cd0e3d4e187b59a4ef4024459b0da353	613276479	WGS	GENOMIC	RANDOM PCR	ILLUMINA	7872167	500975670
ERR4059483	VK16	SAMEA6799844	Viking Age human sample	ERX4058268	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059483/ERR4059483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059483/VK16.final.bam	277ac9756b576f222aab10eb4d5d2c14	749497339	WGS	GENOMIC	RANDOM PCR	ILLUMINA	10897617	706800536
ERR4059484	VK17	SAMEA6799845	Viking Age human sample	ERX4058269	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059484/ERR4059484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059484/VK17.final.bam	6312850011c8764dd5f78df0cd0a0f2b	1790901092	WGS	GENOMIC	RANDOM PCR	ILLUMINA	24404237	1616730787
ERR4059486	VK19	SAMEA6799847	Viking Age human sample	ERX4058271	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059486/ERR4059486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059486/VK19.final.bam	8561f996e2faa2b13b5f8f59eb2eab8c	2500319652	WGS	GENOMIC	RANDOM PCR	ILLUMINA	36526373	1946188012
ERR4059489	VK22	SAMEA6799850	Viking Age human sample	ERX4058274	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059489/ERR4059489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059489/VK22.final.bam	ad4ecddae1ad599d10ad4bf568baa6c9	499418215	WGS	GENOMIC	RANDOM PCR	ILLUMINA	7410379	377876086
ERR4059491	VK24	SAMEA6799852	Viking Age human sample	ERX4058276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059491/ERR4059491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059491/VK24.final.bam	9643a92e8c3353af4ded0e398c88cdb1	683082046	WGS	GENOMIC	RANDOM PCR	ILLUMINA	8706076	581876558
ERR4059492	VK25	SAMEA6799853	Ancient human sample	ERX4058277	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059492/ERR4059492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059492/VK25.final.bam	9016f48effe089a2ec1b7a76c3ec8b9b	6298724448	WGS	GENOMIC	RANDOM PCR	ILLUMINA	85778561	5858535892
ERR4059493	VK27	SAMEA6799854	Ancient human sample	ERX4058278	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059493/ERR4059493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059493/VK27.final.bam	6f7847dc45e360263602542247e1e181	1006655422	WGS	GENOMIC	RANDOM PCR	ILLUMINA	14217405	767023363
ERR4059494	VK29	SAMEA6799855	Viking Age human sample	ERX4058279	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059494/ERR4059494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059494/VK29.final.bam	042c6dcf6695937119e5ae5dab3e6cbe	10948636650	WGS	GENOMIC	RANDOM PCR	ILLUMINA	184885004	9930118979
ERR4059495	VK30	SAMEA6799856	Viking Age human sample	ERX4058280	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059495/ERR4059495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059495/VK30.final.bam	57dd7e2b4f3db3f018136631953a0e36	1816033832	WGS	GENOMIC	RANDOM PCR	ILLUMINA	22370232	1767522245
ERR4059497	VK33	SAMEA6799858	Viking Age human sample	ERX4058282	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059497/ERR4059497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059497/VK33.final.bam	f0395b5164dd0b47cf7df42821e404c7	3311473750	WGS	GENOMIC	RANDOM PCR	ILLUMINA	47971093	2903977351
ERR4059499	VK35	SAMEA6799860	Viking Age human sample	ERX4058284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059499/ERR4059499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059499/VK35.final.bam	ba8f75ca853ddecbb22cd53dbb553df8	3578907543	WGS	GENOMIC	RANDOM PCR	ILLUMINA	49518903	3447191090
ERR4059502	VK42	SAMEA6799863	Viking Age human sample	ERX4058287	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/002/ERR4059502/ERR4059502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059502/VK42.final.bam	cec1387b38d7ed40c120e0546c179f97	23934093438	WGS	GENOMIC	RANDOM PCR	ILLUMINA	377914192	28635163075
ERR4059503	VK44	SAMEA6799864	Ancient human sample	ERX4058288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059503/ERR4059503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059503/VK44.final.bam	eff4fe390e4c8dd3dab89e44ae153154	1608634546	WGS	GENOMIC	RANDOM PCR	ILLUMINA	21569270	1404525748
ERR4059506	VK48	SAMEA6799867	Viking Age human sample	ERX4058291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059506/ERR4059506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059506/VK48.final.bam	8ac55cfbfd3352cab3009aa3394b0a30	1535167708	WGS	GENOMIC	RANDOM PCR	ILLUMINA	18835669	1516279539
ERR4059508	VK51	SAMEA6799869	Viking Age human sample	ERX4058293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059508/ERR4059508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059508/VK51.final.bam	7bc79fa36bf4f0aa7fad21c21d37ff97	2265008984	WGS	GENOMIC	RANDOM PCR	ILLUMINA	36754010	1918648666
ERR4059514	VK63	SAMEA6799875	Viking Age human sample	ERX4058299	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059514/ERR4059514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059514/VK63.final.bam	a9e74483af1abc51188f38c278b75753	699968565	WGS	GENOMIC	RANDOM PCR	ILLUMINA	10375293	580182401
ERR4059516	VK65	SAMEA6799877	Viking Age human sample	ERX4058301	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059516/ERR4059516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059516/VK65.final.bam	ae535ffb8493d6e59d1feb31b93b47c8	1769205054	WGS	GENOMIC	RANDOM PCR	ILLUMINA	22692715	1590951478
ERR4059518	VK70	SAMEA6799879	Viking Age human sample	ERX4058303	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059518/ERR4059518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059518/VK70.final.bam	76f0e751af1827a70c4f3fd6a1981570	21784471513	WGS	GENOMIC	RANDOM PCR	ILLUMINA	356596347	20692131810
ERR4059521	VK75	SAMEA6799882	Viking Age human sample	ERX4058306	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059521/ERR4059521.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059521/VK75.final.bam	810e78f098079204bf6df6d0ca5a1f3b	972538573	WGS	GENOMIC	RANDOM PCR	ILLUMINA	13848736	849657544
ERR4059526	VK86	SAMEA6799887	Viking Age human sample	ERX4058311	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059526/ERR4059526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059526/VK86.final.bam	f097c718d4389308f32f535bf76a5f7f	31069048	WGS	GENOMIC	RANDOM PCR	ILLUMINA	500719	22556138
ERR4059527	VK87	SAMEA6799888	Viking Age human sample	ERX4058312	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059527/ERR4059527.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059527/VK87.final.bam	1cac5fd95161721cb1efdd3b09cdef57	9106449964	WGS	GENOMIC	RANDOM PCR	ILLUMINA	130776844	9352743322
ERR4059533	VK99	SAMEA6799894	Viking Age human sample	ERX4058318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059533/ERR4059533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059533/VK99.final.bam	81ac088b5343d6261705380bc275e4e8	3113745295	WGS	GENOMIC	RANDOM PCR	ILLUMINA	57233845	2276460814
ERR4059534	VK101	SAMEA6799895	Viking Age human sample	ERX4058319	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059534/ERR4059534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059534/VK101.final.bam	9e853b17387f51e71d53172c6526df10	5688551598	WGS	GENOMIC	RANDOM PCR	ILLUMINA	86113291	5980775790
ERR4059536	VK108	SAMEA6799897	Viking Age human sample	ERX4058321	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059536/ERR4059536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059536/VK108.final.bam	e1b0938050aabdce2aae99c92206c9cb	2816238906	WGS	GENOMIC	RANDOM PCR	ILLUMINA	41646587	2679538954
ERR4059538	VK111	SAMEA6799899	Viking Age human sample	ERX4058323	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/008/ERR4059538/ERR4059538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059538/VK111.final.bam	bb6c8aa0c72b2d9804d4afda7c763b31	3811217291	WGS	GENOMIC	RANDOM PCR	ILLUMINA	54250227	3346133026
ERR4059545	VK123	SAMEA6799906	Viking Age human sample	ERX4058330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/005/ERR4059545/ERR4059545.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059545/VK123.final.bam	b4578d73f513bbdb4e5d3f29ca7387a7	3671034052	WGS	GENOMIC	RANDOM PCR	ILLUMINA	52237024	3554905703
ERR4059547	VK125	SAMEA6799908	Viking Age human sample	ERX4058332	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/007/ERR4059547/ERR4059547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059547/VK125.final.bam	ea03c7c89c128b5e0ad9e71f9a8df01c	10469598	WGS	GENOMIC	RANDOM PCR	ILLUMINA	140996	8390201
ERR4059550	VK129	SAMEA6799911	Viking Age human sample	ERX4058335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/000/ERR4059550/ERR4059550.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059550/VK129.final.bam	8a8197e3ff0f5fff1ea65d7622c130f8	12357750547	WGS	GENOMIC	RANDOM PCR	ILLUMINA	187371101	11206472696
ERR4059553	VK135	SAMEA6799914	Viking Age human sample	ERX4058338	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/003/ERR4059553/ERR4059553.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059553/VK135.final.bam	7de81ed1a6becf32899070a51ec68aea	33210958	WGS	GENOMIC	RANDOM PCR	ILLUMINA	476715	33464569
ERR4059556	VK140	SAMEA6799917	Viking Age human sample	ERX4058341	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059556/ERR4059556.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059556/VK140.final.bam	115e011bfc648bb94bb29dffce094c9e	53691615	WGS	GENOMIC	RANDOM PCR	ILLUMINA	699554	48224524
ERR4059559	VK144	SAMEA6799921	Viking Age human sample	ERX4058344	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/009/ERR4059559/ERR4059559.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059559/VK144.final.bam	37922989adb735e580f802a7145e6d38	533540241	WGS	GENOMIC	RANDOM PCR	ILLUMINA	6414252	493053753
ERR4059561	VK146	SAMEA6799923	Viking Age human sample	ERX4058346	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/001/ERR4059561/ERR4059561.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059561/VK146.final.bam	2bcaa4861003bc2b5af2e83510ab888a	4070150358	WGS	GENOMIC	RANDOM PCR	ILLUMINA	60263750	3659841916
ERR4059564	VK149	SAMEA6799926	Viking Age human sample	ERX4058349	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/004/ERR4059564/ERR4059564.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059564/VK149.final.bam	600aaa4e655aa8b98f19f0370036fa62	32280765	WGS	GENOMIC	RANDOM PCR	ILLUMINA	427312	26305721
ERR4059566	VK151	SAMEA6799928	Viking Age human sample	ERX4058351	ftp.sra.ebi.ac.uk/vol1/fastq/ERR405/006/ERR4059566/ERR4059566.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR405/ERR4059566/VK151.final.bam	560777667395f93b105dd4e8ee2fc3dc	3714762872	WGS	GENOMIC	RANDOM PCR	ILLUMINA	55753255	3534682767
