Name,Path,Size_MB,Date_Modified,File_Type,Folder
"AI.gsheet","05_Downloads/Pobrane/AI.gsheet",0,"2023-07-01 23:42","gsheet","05_Downloads/Pobrane"
"Can you please create the excel sheet on the basis of the below?","05_Downloads/Pobrane/Can you please create the excel sheet on the basis of the below?",0,"unknown","none","05_Downloads/Pobrane"
"","",0,"unknown","none","."
"Structuring the Excel Sheet","Structuring the Excel Sheet",0,"unknown","none","."
"To create an Excel sheet that~ Documentation; Video; Blog)","To create an Excel sheet that~ Documentation; Video; Blog)",0,"unknown","none","."
"Column B: Link","Column B: Link",0,"unknown","none","."
"Column C: Relevance to Skill Category (from Sheet 1)","Column C: Relevance to Skill Category (from Sheet 1)",0,"unknown","none","."
"Column D: Notes or Summary.gsheet","Column D: Notes or Summary.gsheet",0,"unknown","gsheet","."
"Analysis_Total addressable market.docx","05_Downloads/Pobrane/Andy Arek Janek/Analysis_Total addressable market.docx",.02,"2024-09-26 16:55","docx","05_Downloads/Pobrane/Andy Arek Janek"
"STR_statistic_for_YF79056.csv","05_Downloads/Pobrane/Pobrane/STR_statistic_for_YF79056.csv",.01,"2020-11-22 19:04","csv","05_Downloads/Pobrane/Pobrane"
"ilovepdf_merged.pdf","05_Downloads/Pobrane/Pobrane/ilovepdf_merged.pdf",.37,"2020-12-03 19:50","pdf","05_Downloads/Pobrane/Pobrane"
"bik_report_000000000419657.pdf","05_Downloads/Pobrane/Pobrane/bik_report_000000000419657.pdf",.15,"2020-12-12 09:06","pdf","05_Downloads/Pobrane/Pobrane"
"Odpowiedz_na_zgloszenie_12A541A3A.pdf","05_Downloads/Pobrane/Pobrane/Odpowiedz_na_zgloszenie_12A541A3A.pdf",.08,"2020-12-15 15:18","pdf","05_Downloads/Pobrane/Pobrane"
"Wykaz_konsultantów_wojewódzkich_16112020.2.xlsx","05_Downloads/Pobrane/Pobrane/Wykaz_konsultantów_wojewódzkich_16112020.2.xlsx",.03,"2020-12-04 07:02","xlsx","05_Downloads/Pobrane/Pobrane"
"UMOWA  zał. 2  - raport - ŚWIADCZENIA OSOBY PRAWNE AZ.docx","05_Downloads/Pobrane/Pobrane/UMOWA  zał. 2  - raport - ŚWIADCZENIA OSOBY PRAWNE AZ.docx",.02,"2020-12-11 07:58","docx","05_Downloads/Pobrane/Pobrane"
"Global Financial Compliance Ed8.epub","05_Downloads/Pobrane/Pobrane/Global Financial Compliance Ed8.epub",7.17,"2020-12-15 15:33","epub","05_Downloads/Pobrane/Pobrane"
"TEMP.60037795_0.doc","05_Downloads/Pobrane/Pobrane/TEMP.60037795_0.doc",.04,"2020-12-01 07:00","doc","05_Downloads/Pobrane/Pobrane"
"STR_for_YF79056_20201122.csv","05_Downloads/Pobrane/Pobrane/STR_for_YF79056_20201122.csv",.02,"2020-11-22 19:01","csv","05_Downloads/Pobrane/Pobrane"
"PotwierdzenieTransakcji_09122020_085042.pdf","05_Downloads/Pobrane/Pobrane/PotwierdzenieTransakcji_09122020_085042.pdf",.09,"2020-12-09 08:50","pdf","05_Downloads/Pobrane/Pobrane"
"PDFen.pdf","05_Downloads/Pobrane/Pobrane/PDFen.pdf",.25,"2020-12-03 19:47","pdf","05_Downloads/Pobrane/Pobrane"
"NovelSNP_for_YF79056_20201122.csv","05_Downloads/Pobrane/Pobrane/NovelSNP_for_YF79056_20201122.csv",0,"2020-11-22 18:58","csv","05_Downloads/Pobrane/Pobrane"
"bik_report_000000000419657 (1).pdf","05_Downloads/Pobrane/Pobrane/bik_report_000000000419657 (1).pdf",.15,"2020-12-12 09:07","pdf","05_Downloads/Pobrane/Pobrane"
"all-ancient-dna.pdf","05_Downloads/Pobrane/Pobrane/all-ancient-dna.pdf",10.58,"2020-12-03 23:13","pdf","05_Downloads/Pobrane/Pobrane"
"STR_for_YF79056_20201114.csv","05_Downloads/Pobrane/Pobrane/STR_for_YF79056_20201114.csv",.02,"2020-11-14 14:05","csv","05_Downloads/Pobrane/Pobrane"
"PotwierdzenieTransakcji IPN.pdf","05_Downloads/Pobrane/Pobrane/PotwierdzenieTransakcji IPN.pdf",.09,"2020-12-18 09:38","pdf","05_Downloads/Pobrane/Pobrane"
"RE Appointment Confirmation.pdf","05_Downloads/Pobrane/Pobrane/RE Appointment Confirmation.pdf",.24,"2020-12-07 08:37","pdf","05_Downloads/Pobrane/Pobrane"
"FW Appointment Confirmation.pdf","05_Downloads/Pobrane/Pobrane/FW Appointment Confirmation.pdf",.12,"2020-12-03 19:44","pdf","05_Downloads/Pobrane/Pobrane"
"PotwierdzenieTransakcji_01122020_082152.pdf","05_Downloads/Pobrane/Pobrane/PotwierdzenieTransakcji_01122020_082152.pdf",.09,"2020-12-01 08:21","pdf","05_Downloads/Pobrane/Pobrane"
"Rachunek - wzór z omówieniem.docx","05_Downloads/Pobrane/Pobrane/Rachunek - wzór z omówieniem.docx",0,"2020-12-14 12:49","docx","05_Downloads/Pobrane/Pobrane"
"Bodzia.docx","05_Downloads/Pobrane/Bodzia.docx",.01,"2023-08-06 07:07","docx","05_Downloads/Pobrane"
